2011-10-14 16:24:10 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:24:10 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:25:28 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:25:28 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:25:29 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:25:29 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:26:25 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:26:25 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:26:45 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:26:46 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:26:57 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:26:57 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:27:04 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:27:04 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:27:29 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:27:29 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:31:15 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:31:15 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:32:16 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:32:16 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:32:17 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:32:17 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:32:18 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:32:18 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
